nombre,biografia,oyentes,reproducciones,similares
Leslie Odom Jr.," <a href=""https://www.last.fm/music/Leslie+Odom+Jr."">Read more on Last.fm</a>",780897,33337796,"['Christopher Jackson', 'Phillipa Soo', 'Renée Elise Goldsberry', 'Lin-Manuel Miranda', 'Thayne Jasperson']"
"Fear, and Loathing in Las Vegas","Fear, and Loathing in Las Vegas, es una banda de emo / metalcore / electrónica se formó originalmente en el verano de 2008 por los ex miembros de Ending for a Start and Blank Time.

La banda toca principalmente música pesada con gritos, tanto de alta y baja, pero a diferencia de los sonidos de metal típico, que se han mezclado ritmos electrónicos y el canto limpio para su música brutal.

La fusión audaz y único de la música pesada y diversos sonidos electrónicos producidos por el teclado había fascinado a muchas audiencias. <a href=""https://www.last.fm/music/Fear,+and+Loathing+in+Las+Vegas"">Read more on Last.fm</a>",213589,7954727,"['a crowd of rebellion', 'MY FIRST STORY', 'coldrain', 'Fact', 'Crossfaith']"
Bear McCreary,"Nacido el 17 de febrero de 1979 en Fort Lauderdale (Florida), Bear McCreary es un compositor y músico que reside en Los Angeles, California. 

Se formó durante muchos años en Bellingham, Washington. Y aprendió con Elmer Bernstein en el USC Thornton School of Music. Compuso la música original de más de 30 películas incluido el corto musical de Jon Chu's ""When the Kids are Away"".

McCreary de manera autodidacta aprendió a tocar el acordeón y actúa junto a la banda de avant-jazz ""17 Billion Miles of DNA"". <a href=""https://www.last.fm/music/Bear+McCreary"">Read more on Last.fm</a>",520843,20700177,"['Richard Gibbs', 'Lorne Balfe', 'Howard Shore', 'Ramin Djawadi', 'Brian Tyler']"
Toby Fox,"Toby Fox (Boston, Massachussetts, 11 de octubre de 1991) es un compositor y desarrollador de videojuegos estadounidense, conocido por desarrollar Undertale. Actualmente está desarrollando un juego relacionado, Deltarune, cuyo primer capítulo fue lanzado el 31 de octubre de 2018.

Carrera

Fox estudió ciencias ambientales​ en la Universidad Northeastern en Boston, Massachusetts, y había comenzado a componer una variedad de música para el webcomic Homestuck 2009 de Andrew Hussie durante su último año de secundaria. <a href=""https://www.last.fm/music/Toby+Fox"">Read more on Last.fm</a>",1106419,133289863,"['Lena Raine', 'Omori', 'Laura Shigihara', 'Nightmargin', 'DM DOKURO']"
Daveed Diggs," <a href=""https://www.last.fm/music/Daveed+Diggs"">Read more on Last.fm</a>",395029,4603573,"['Christopher Jackson', 'Phillipa Soo', 'Leslie Odom Jr.', 'Demrick', 'Dessa']"
Okieriete Onaodowan," <a href=""https://www.last.fm/music/Okieriete+Onaodowan"">Read more on Last.fm</a>",227082,1357815,"['Thayne Jasperson', 'Christopher Jackson', 'Leslie Odom Jr.', 'Phillipa Soo', 'Renée Elise Goldsberry']"
Aimer,"Aimer es una nueva artista japonesa que firmó con Sony Music Japan. Fue expuesta a la música desde una edad temprana. Aimer ya tocaba el piano en la escuela primaria y rápidamente tomó la guitarra en la secundaria. Aimer también escribe música en Inglés y tiene un buen dominio de esa lengua debido sus experiencias en el extranjero.
El 7 de septiembre de 2011, Aimer lanzo su single debut  titulado ""六 等 星 の 夜 / 悲しみ . La canción <a href=""https://www.last.fm/music/Aimer"">Read more on Last.fm</a>",444920,23077109,"['ReoNa', 'Uru', 'Milet', 'SawanoHiroyuki[nZk]:Aimer', 'SawanoHiroyuki[nZk]']"
Phillipa Soo," <a href=""https://www.last.fm/music/Phillipa+Soo"">Read more on Last.fm</a>",545794,14137529,"['Christopher Jackson', 'Leslie Odom Jr.', 'Renée Elise Goldsberry', 'Lin-Manuel Miranda', 'Jonathan Groff']"
Original Broadway Cast of Hamilton," <a href=""https://www.last.fm/music/Original+Broadway+Cast+of+Hamilton"">Read more on Last.fm</a>",432425,10878877,"['Leslie Odom Jr., Lin-Manuel Miranda, Original Broadway Cast of Hamilton', 'Jonathan Groff', 'Phillipa Soo, Original Broadway Cast of Hamilton', 'Leslie Odom Jr., Original Broadway Cast of Hamilton', 'Phillipa Soo']"
Lin-Manuel Miranda,"Lin-Manuel Miranda (born January 16, 1980) is an American actor, composer, rapper, and writer, best known for creating and starring in the Broadway musicals Hamilton and In the Heights. He has won a Pulitzer Prize, two Grammys, an Emmy, a MacArthur ""Genius"" Award, and three Tony awards, among others.

Miranda wrote the music and lyrics for the musical In the Heights, which opened on Broadway at the Richard Rodgers Theatre in March 2008. Miranda's written work for the show earned him numerous accolades <a href=""https://www.last.fm/music/Lin-Manuel+Miranda"">Read more on Last.fm</a>",688918,24846073,"['Leslie Odom Jr.', 'Phillipa Soo', 'Renée Elise Goldsberry', 'Thayne Jasperson', 'Original Broadway Cast of Hamilton']"
Michael Giacchino,"Michael Giacchino es un compositor musical nacido en Riverside Township, Nueva Jersey (Estados Unidos), el 10 de octubre de 1967.

Giacchino es un compositor de bandas sonoras ganador de numerosos premios, conocido en sus inicios (primera mitad de la década de 2000 a 2010) por las partituras de la galardonada serie de videojuegos ambientados en la Segunda Guerra Mundial: Medal of Honor, entre otros; en especial sus tres primeras versiones, Underground, Allied Assault y Frontline. <a href=""https://www.last.fm/music/Michael+Giacchino"">Read more on Last.fm</a>",1145753,29347579,"['Alan Silvestri', 'John Williams', 'Hans Zimmer', 'James Horner', 'Henry Jackman']"
Christopher Jackson," <a href=""https://www.last.fm/music/Christopher+Jackson"">Read more on Last.fm</a>",564112,9653777,"['Leslie Odom Jr.', 'Phillipa Soo', 'Renée Elise Goldsberry', 'Thayne Jasperson', 'Okieriete Onaodowan']"
Renée Elise Goldsberry," <a href=""https://www.last.fm/music/Ren%C3%A9e+Elise+Goldsberry"">Read more on Last.fm</a>",533862,10485698,"['Christopher Jackson', 'Phillipa Soo', 'Leslie Odom Jr.', 'Thayne Jasperson', 'Okieriete Onaodowan']"
Jasmine Cephas-Jones," <a href=""https://www.last.fm/music/Jasmine+Cephas-Jones"">Read more on Last.fm</a>",307646,2880336,"['Okieriete Onaodowan', 'Phillipa Soo', 'Renée Elise Goldsberry', 'Leslie Odom Jr.', 'Christopher Jackson']"
Thayne Jasperson," <a href=""https://www.last.fm/music/Thayne+Jasperson"">Read more on Last.fm</a>",311950,2358554,"['Okieriete Onaodowan', 'Christopher Jackson', 'Leslie Odom Jr.', 'Phillipa Soo', 'Renée Elise Goldsberry']"
Goose house," <a href=""https://www.last.fm/music/Goose+house"">Read more on Last.fm</a>",273824,4232788,"['Coalamode.', '7!!', 'いきものがかり', 'Ryokuoushoku Shakai', '鈴木このみ']"
Jonathan Groff,"Jonathan Drew Groff (nacido el 26 de marzo 1985) es un canta-autor estadounidense de música pop, teatro, televisión y actor de cine. Hace poco estaba interpretando a Jesse St. James en la serie de televisión musical Glee.

Groff nació en Lancaster, Pennsylvania los padres: Jim, un entrenador de caballos, conductor del arnes, y Julie, una profesora de gimnasia. Tiene un hermano mayor, David. Respecto a su educación, ha dicho ""la parte de la familia de mi madre es Metodista, y asi es como me criaron. <a href=""https://www.last.fm/music/Jonathan+Groff"">Read more on Last.fm</a>",713895,12207721,"['Original Broadway Cast of Hamilton', 'Phillipa Soo', 'Christopher Jackson', 'Christopher Jackson, Daveed Diggs, Lin-Manuel Miranda & Okieriete Onaodowan', 'Phillipa Soo & Lin-Manuel Miranda']"
