ID;name;artist;Year;Genero;album_type;release_date;popularity
1WHNqqRWhJVZIdCScFKtl5;Washington on Your Side;Leslie Odom Jr.;2015;soundtrack;album;2015-09-25;67
1DLfR4MOfLYbV6v3xrmWa8;We Know;Lin-Manuel Miranda;2015;soundtrack;album;2015-09-25;66
1mGO8rwCE9zk7H06OxcU5m;History Has Its Eyes on You;Christopher Jackson;2015;soundtrack;album;2015-09-25;68
0LpHC9mhPAQC98IjXZIrif;The Election of 1800;Daveed Diggs;2015;soundtrack;album;2015-09-25;66
0wae8KoprNjfrXWjYYHGy9;Spear of Justice;Toby Fox;2015;soundtrack;album;2015-09-15;59
7EsSVPxaYoAZjQwhspJBs2;Who Lives, Who Dies, Who Tells Your Story;Original Broadway Cast of Hamilton;2015;soundtrack;album;2015-09-25;68
733tju3KUeatsbjcTRQ04i;Yorktown (The World Turned Upside Down);Original Broadway Cast of Hamilton;2015;soundtrack;album;2015-09-25;68
7D1Lf7N7AtCuEq5PGJtIPz;The Reynolds Pamphlet;Original Broadway Cast of Hamilton;2015;soundtrack;album;2015-09-25;67
6oF8ueLn5hIl4PRp17sxW6;That Would Be Enough;Phillipa Soo;2015;soundtrack;album;2015-09-25;67
6SHI6STEW51cQkAXBRpLNj;Your Obedient Servant;Leslie Odom Jr.;2015;soundtrack;album;2015-09-25;68
5z4vmar50qPl80GjIrPBXm;It's Raining Somewhere Else;Toby Fox;2015;soundtrack;album;2015-09-15;62
0w5CRIokPrQAAq7OdIKesr;SAVE The World;Toby Fox;2015;soundtrack;album;2015-09-15;59
3lXyAQ0kekAvY5LodpWmUs;Ten Duel Commandments;Lin-Manuel Miranda;2015;soundtrack;album;2015-09-25;68
7m9XR7FquXLP1FewdAcNS9;Guns and Ships;Leslie Odom Jr.;2015;soundtrack;album;2015-09-25;72
1llkMtLL4vbe0pr3NV2ckg;Let Me Hear;Fear, and Loathing in Las Vegas;2015;soundtrack;album;2015-09-30;58
46YSff2Rq1ZtN1YVk5cwbZ;Brave Shine;Aimer;2015;soundtrack;album;2015-07-29;61
3s9itRgJYcKhem01P17865;Say No to This;Jasmine Cephas-Jones;2015;soundtrack;album;2015-09-25;69
2qFIJT5hjqaNFA1GKwl9me;Take a Break;Phillipa Soo;2015;soundtrack;album;2015-09-25;67
39IOkz6LpC1qc5Wnt0T07r;Dance of the Druids (feat. Raya Yarbrough);Bear McCreary;2015;soundtrack;album;2015-02-10;53
